file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,119,css,89ceda58,gabrielborjas,2026-04-10,21:14:51,-07:00,2026-04-10T21:14:51-07:00,0,0
style.css,120,css,89ceda58,gabrielborjas,2026-04-10,21:14:51,-07:00,2026-04-10T21:14:51-07:00,0,0
style.css,121,css,89ceda58,gabrielborjas,2026-04-10,21:14:51,-07:00,2026-04-10T21:14:51-07:00,0,15
style.css,122,css,e7c840ff,gabrielborjas,2026-04-17,23:08:31,-07:00,2026-04-17T23:08:31-07:00,1,69
style.css,123,css,89ceda58,gabrielborjas,2026-04-10,21:14:51,-07:00,2026-04-10T21:14:51-07:00,1,11
style.css,124,css,89ceda58,gabrielborjas,2026-04-10,21:14:51,-07:00,2026-04-10T21:14:51-07:00,1,17
style.css,125,css,89ceda58,gabrielborjas,2026-04-10,21:14:51,-07:00,2026-04-10T21:14:51-07:00,1,18
style.css,126,css,89ceda58,gabrielborjas,2026-04-10,21:14:51,-07:00,2026-04-10T21:14:51-07:00,0,0
style.css,127,css,e7c840ff,gabrielborjas,2026-04-17,23:08:31,-07:00,2026-04-17T23:08:31-07:00,0,0
style.css,128,css,e7c840ff,gabrielborjas,2026-04-17,23:08:31,-07:00,2026-04-17T23:08:31-07:00,0,13
style.css,129,css,e7c840ff,gabrielborjas,2026-04-17,23:08:31,-07:00,2026-04-17T23:08:31-07:00,1,17
style.css,130,css,e7c840ff,gabrielborjas,2026-04-17,23:08:31,-07:00,2026-04-17T23:08:31-07:00,1,8
style.css,131,css,e7c840ff,gabrielborjas,2026-04-17,23:08:31,-07:00,2026-04-17T23:08:31-07:00,1,10
style.css,132,css,e7c840ff,gabrielborjas,2026-04-17,23:08:31,-07:00,2026-04-17T23:08:31-07:00,1,13
style.css,133,css,e28cf12a,gabrielborjas,2026-04-23,19:32:30,-07:00,2026-04-23T19:32:30-07:00,0,0
style.css,134,css,e28cf12a,gabrielborjas,2026-04-23,19:32:30,-07:00,2026-04-23T19:32:30-07:00,0,0
style.css,135,css,e28cf12a,gabrielborjas,2026-04-23,19:32:30,-07:00,2026-04-23T19:32:30-07:00,0,21
style.css,136,css,e28cf12a,gabrielborjas,2026-04-23,19:32:30,-07:00,2026-04-23T19:32:30-07:00,1,14
style.css,137,css,e28cf12a,gabrielborjas,2026-04-23,19:32:30,-07:00,2026-04-23T19:32:30-07:00,1,11
style.css,138,css,e28cf12a,gabrielborjas,2026-04-23,19:32:30,-07:00,2026-04-23T19:32:30-07:00,1,13
style.css,139,css,47d0371c,gabrielborjas,2026-05-02,22:23:41,-07:00,2026-05-02T22:23:41-07:00,0,0
style.css,140,css,47d0371c,gabrielborjas,2026-05-02,22:23:41,-07:00,2026-05-02T22:23:41-07:00,0,0
style.css,141,css,47d0371c,gabrielborjas,2026-05-02,22:23:41,-07:00,2026-05-02T22:23:41-07:00,0,13
style.css,142,css,47d0371c,gabrielborjas,2026-05-02,22:23:41,-07:00,2026-05-02T22:23:41-07:00,1,30
style.css,143,css,47d0371c,gabrielborjas,2026-05-02,22:23:41,-07:00,2026-05-02T22:23:41-07:00,1,34
style.css,144,css,47d0371c,gabrielborjas,2026-05-02,22:23:41,-07:00,2026-05-02T22:23:41-07:00,1,17
style.css,145,css,47d0371c,gabrielborjas,2026-05-02,22:23:41,-07:00,2026-05-02T22:23:41-07:00,1,10
style.css,146,css,47d0371c,gabrielborjas,2026-05-02,22:23:41,-07:00,2026-05-02T22:23:41-07:00,1,16
style.css,147,css,47d0371c,gabrielborjas,2026-05-02,22:23:41,-07:00,2026-05-02T22:23:41-07:00,0,0
style.css,148,css,47d0371c,gabrielborjas,2026-05-02,22:23:41,-07:00,2026-05-02T22:23:41-07:00,0,0
style.css,149,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,0
style.css,150,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,7
style.css,151,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,15
style.css,152,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,11
style.css,153,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,12
style.css,154,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,21
style.css,155,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,17
style.css,156,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,12
style.css,157,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,57
style.css,158,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,7
style.css,159,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,0
style.css,160,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,0
style.css,161,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,12
